ID,Nombre,Categoría,Descripcion,Duracion,Disponible
1,Tratamiento + Peinado Largo,Peluquería,"Tratamientos personalizado, lavado dermocapila, ritual facial y peinado",60,Si
2,Tratamiento + Peinado Extra,Peluquería,"Tratamientos personalizado, lavado dermocapilar,ritual facial y peinado",90,Si
3,Tratamiento + Peinado corto/medio,Peluquería,"tratamientos personalizado, lavado dermocapilar,ritual facial y peinado",60,Si
4,Peinado Largo,Peluquería,"Lavado dermo capilar,ritual facial y peinado",60,Si
5,Peinado Extra,Peluquería,"Lavado dermo capilar,ritual facial y peinado",90,Si
6,Peinado Corto – Medio,Peluquería,"Lavado dermo capilar,ritual facial y peinado",60,Si
7,Pack Óleo Pigmento + Peinado Largo,Peluquería,"Regulador de la porosidad, servicio de color, equibrador del Ph, ritual facial y peinado ",120,Si
8,Pack Óleo Pigmento + Peinado Extra,Peluquería,"regulador de la porosidad, servicio de color, equibrador del Ph, ritual facial y peinado ",150,Si
9,Pack Óleo Pigmento + Peinado Corto – Medio,Peluquería,"regulador de la porosidad, servicio de color, equibrador del Ph, ritual facial y peinado ",120,Si
10,Pack Moldeado Largo,Peluquería,"regulador de la porosidad, servicio de moldeado, equibrador del Ph, ritual facial y peinado ",150,Si
11,Pack Moldeado Extra,Peluquería,"regulador de la porosidad, servicio de moldeado, equibrador del Ph, ritual facial y peinado",150,Si
12,Pack Moldeado Corto - Medio,Peluquería,"regulador de la porosidad, servicio de moldeado, equibrador del Ph, ritual facial y peinado",120,Si
13,Pack Mechas Largo,Peluquería,"regulador de la porosidad, servicio de mechas, equibrador del Ph, ritual facial y peinado",180,Si
14,Pack Mechas Extra,Peluquería,"regulador de la porosidad, servicio de mechas, equibrador del Ph, ritual facial y peinado",210,Si
15,Pack Mechas Corto – Medio,Peluquería,"regulador de la porosidad, servicio de mechas, equibrador del Ph, ritual facial y peinado",180,Si
16,Pack Dual: Mechas + Color Largo,Peluquería,"regulador de la porosidad, servicio dual, equibrador del Ph, ritual facial y peinado",180,Si
17,Pack Dual: Mechas + Color Extra,Peluquería,"regulador de la porosidad, servicio dual, equibrador del Ph, ritual facial y peinado",210,Si
18,Pack Dual: Mechas + Color Corto – Medio,Peluquería,"regulador de la porosidad, servicio dual, equibrador del Ph, ritual facial y peinado",180,Si
